N,P,K,TEMPERATURE,HUMIDITY,PH,RAINFALL,LABEL
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,RICE
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,RICE
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,RICE
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,RICE
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,RICE
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,RICE
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,RICE
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,RICE
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,RICE
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,RICE
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,RICE
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,RICE
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,RICE
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,RICE
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,RICE
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,RICE
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,RICE
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,RICE
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,RICE
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,RICE
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,RICE
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,RICE
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,RICE
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,RICE
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,RICE
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,RICE
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,RICE
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,RICE
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,RICE
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,RICE
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,RICE
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,RICE
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,RICE
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,RICE
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,RICE
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,RICE
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,RICE
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,RICE
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,RICE
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,RICE
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,RICE
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,RICE
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,RICE
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,RICE
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,RICE
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,RICE
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,RICE
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,RICE
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,RICE
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,RICE
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,RICE
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,RICE
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,RICE
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,RICE
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,RICE
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,RICE
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,RICE
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,RICE
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,RICE
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,RICE
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,RICE
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,RICE
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,RICE
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,RICE
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,RICE
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,RICE
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,RICE
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,RICE
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,RICE
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,RICE
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,RICE
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,RICE
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,RICE
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,RICE
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,RICE
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,RICE
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,RICE
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,RICE
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,RICE
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,RICE
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,RICE
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,RICE
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,RICE
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,RICE
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,RICE
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,RICE
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,RICE
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,RICE
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,RICE
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,RICE
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,RICE
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,RICE
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,RICE
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,RICE
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,RICE
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,RICE
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,RICE
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,RICE
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,RICE
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,RICE
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,MAIZE
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,MAIZE
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,MAIZE
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,MAIZE
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,MAIZE
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,MAIZE
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,MAIZE
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,MAIZE
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,MAIZE
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,MAIZE
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,MAIZE
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,MAIZE
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,MAIZE
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,MAIZE
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,MAIZE
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,MAIZE
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,MAIZE
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,MAIZE
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,MAIZE
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,MAIZE
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,MAIZE
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,MAIZE
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,MAIZE
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,MAIZE
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,MAIZE
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,MAIZE
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,MAIZE
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,MAIZE
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,MAIZE
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,MAIZE
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,MAIZE
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,MAIZE
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,MAIZE
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,MAIZE
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,MAIZE
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,MAIZE
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,MAIZE
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,MAIZE
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,MAIZE
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,MAIZE
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,MAIZE
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,MAIZE
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,MAIZE
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,MAIZE
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,MAIZE
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,MAIZE
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,MAIZE
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,MAIZE
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,MAIZE
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,MAIZE
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,MAIZE
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,MAIZE
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,MAIZE
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,MAIZE
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,MAIZE
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,MAIZE
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,MAIZE
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,MAIZE
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,MAIZE
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,MAIZE
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,MAIZE
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,MAIZE
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,MAIZE
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,MAIZE
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,MAIZE
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,MAIZE
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,MAIZE
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,MAIZE
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,MAIZE
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,MAIZE
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,MAIZE
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,MAIZE
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,MAIZE
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,MAIZE
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,MAIZE
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,MAIZE
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,MAIZE
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,MAIZE
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,MAIZE
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,MAIZE
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,MAIZE
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,MAIZE
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,MAIZE
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,MAIZE
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,MAIZE
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,MAIZE
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,MAIZE
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,MAIZE
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,MAIZE
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,MAIZE
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,MAIZE
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,MAIZE
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,MAIZE
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,MAIZE
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,MAIZE
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,MAIZE
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,MAIZE
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,MAIZE
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,MAIZE
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,MAIZE
2,40,27,29.73770045,47.54885174,5.954626604,90.09586854,MANGO
39,24,31,33.55695561,53.72979826,4.757114897,98.67527561,MANGO
21,26,27,27.00315545,47.67525434,5.699586972,95.85118326,MANGO
25,22,25,33.56150184,45.53556603,5.977413803,95.70525913,MANGO
0,21,32,35.89855625,54.25964196,6.430139436,92.19721736,MANGO
20,19,35,34.17719782,50.62161586,6.113935087,98.00687989,MANGO
19,21,34,30.01592643,53.19212381,5.074272692,97.72843182,MANGO
18,17,31,31.74592134,45.16127859,5.667507706,93.75441586,MANGO
11,36,33,35.99009679,52.22780489,5.978634285,95.3713484,MANGO
30,28,30,31.86641378,52.19331595,5.064613314,98.46768642,MANGO
18,19,27,27.75518664,52.34605806,4.772385986,94.11213345,MANGO
23,23,27,34.72413192,51.4271781,5.161148592,97.31258083,MANGO
37,30,34,27.53907547,53.63549533,6.797779227,99.35408185,MANGO
11,27,30,27.69637763,48.5622488,6.39474303,89.85646496,MANGO
12,19,31,27.25373364,52.66319725,5.566704378,91.87312479,MANGO
3,28,33,30.33723921,48.88704844,5.755049971,94.42850522,MANGO
37,38,32,31.85744939,45.53106268,5.417340525,91.55845821,MANGO
26,37,30,35.39986338,49.45962621,6.166173834,97.41054011,MANGO
14,18,30,29.80747243,52.13797867,5.191265116,95.74606104,MANGO
40,16,35,34.16438906,54.16482251,4.954739564,98.33351125,MANGO
4,20,25,28.93270187,47.94053996,5.664587011,99.9834242,MANGO
36,25,33,27.98392787,53.33018851,5.548584852,99.61465679,MANGO
30,17,31,31.20478173,54.49960506,6.804437106,94.62954663,MANGO
28,37,28,32.13409675,50.52559148,6.097869767,98.63333684,MANGO
38,15,30,28.91862016,48.13974548,5.075504537,97.01331604,MANGO
12,37,30,31.09779147,47.41196659,4.546466109,90.28624348,MANGO
38,19,31,34.73823882,49.08864345,5.855119268,90.65022183,MANGO
8,33,29,29.98080499,49.48613279,6.442393461,91.82271568,MANGO
15,27,28,33.80398664,46.12866113,4.507523551,90.82549241,MANGO
34,16,25,30.07202564,50.96040505,6.10729559,92.09609766,MANGO
11,36,31,27.92063282,51.77965917,6.47544932,100.2585673,MANGO
33,29,34,31.40948821,49.21729127,6.832979509,92.99739415,MANGO
12,31,26,35.7877738,51.94190321,5.395275719,100.2160615,MANGO
12,34,28,33.36140093,45.02236377,6.13526938,98.81596545,MANGO
5,16,31,35.96054636,48.69677802,4.555688532,98.00644238,MANGO
1,30,29,28.33333307,51.39586505,6.434197756,91.67241761,MANGO
16,35,31,32.27652024,50.19368841,5.316875978,95.99487068,MANGO
35,18,26,31.99490489,50.84881347,5.279388967,97.38741498,MANGO
4,40,26,27.58258929,48.56916221,6.720041791,95.8445641,MANGO
9,29,34,29.38471637,45.88744691,5.72742254,100.8124659,MANGO
2,38,33,32.38697531,53.2328243,4.691396195,90.21633216,MANGO
26,32,32,30.91471455,49.92963856,6.810186079,90.14047759,MANGO
34,38,31,35.37775595,45.58110023,6.454045329,97.41586402,MANGO
5,32,33,32.32362177,52.5896771,5.842763773,93.36718816,MANGO
31,29,26,28.22373428,47.40519056,5.024124684,97.76832322,MANGO
34,34,35,27.27433181,47.16808054,6.422710539,95.257992,MANGO
36,19,32,27.10710832,50.70880979,4.94295037,92.37238878,MANGO
7,17,26,34.89226666,48.75613373,6.414526606,91.63074547,MANGO
38,15,27,33.7462686,48.50387598,6.777788126,92.26439205,MANGO
5,19,25,27.3511056,54.43945147,6.441328044,96.27792547,MANGO
37,36,26,32.89300162,52.61323969,4.650536197,94.49161372,MANGO
21,31,32,35.38598705,51.42664176,5.254532213,90.29643888,MANGO
37,36,27,27.5529736,47.90859131,5.910634533,90.40332704,MANGO
23,23,30,32.82141065,47.45553843,4.755273631,90.89173106,MANGO
36,26,26,30.17294105,51.0845903,6.814630246,95.23444287,MANGO
24,33,35,29.26382931,54.82257868,5.342866119,100.7586226,MANGO
26,18,30,32.06097197,51.08494181,6.336234624,96.59816497,MANGO
22,17,26,28.69818144,47.71875722,4.754435025,99.642454,MANGO
11,34,32,29.14305008,49.40983294,6.831706773,97.55155537,MANGO
29,35,28,28.3471611,53.53903102,6.967417766,90.40260445,MANGO
22,28,26,27.67256197,45.41692012,4.947683034,92.84991507,MANGO
23,24,32,28.1218093,46.16888595,5.630619901,93.30247448,MANGO
1,35,34,30.79375683,46.69536813,6.27339822,92.21318555,MANGO
2,24,34,28.89409382,54.80750249,6.472774648,94.76322976,MANGO
39,37,25,33.33024826,45.61143594,6.953246506,98.28583013,MANGO
15,36,27,27.78912455,53.96886679,5.643710216,91.01152997,MANGO
3,18,31,31.65333432,48.20662669,6.392313973,91.09745581,MANGO
8,38,32,29.75150773,46.73723302,4.981816523,91.405983,MANGO
33,31,34,31.32995611,50.22287593,5.421265283,89.78216168,MANGO
14,29,32,35.63627319,48.97047762,6.942520105,97.51952041,MANGO
18,20,26,31.66524687,51.98594645,5.435840509,89.98024312,MANGO
9,21,32,32.26935342,53.56092806,5.870116071,95.94035356,MANGO
20,30,27,27.81005614,51.59445462,4.74910393,95.89898581,MANGO
9,38,25,34.58561471,50.34035336,5.497946899,100.3060719,MANGO
26,24,34,31.27180992,52.23810152,6.811291098,89.74409017,MANGO
31,36,29,33.93679864,52.72170281,6.460542749,97.4611918,MANGO
14,18,35,31.09154239,47.02058367,4.791146778,91.46664318,MANGO
40,16,35,31.89356292,49.02450149,6.4841522,89.59371481,MANGO
28,27,34,32.45465292,50.69693751,6.526654345,95.04871605,MANGO
0,17,30,35.47478322,47.97230503,6.279133738,97.79072474,MANGO
1,29,29,27.32961444,49.30347234,6.052026047,93.53197359,MANGO
2,36,31,30.90225239,49.95955487,5.73171945,91.77522598,MANGO
12,27,26,29.09382275,45.5661059,5.32307197,96.23520043,MANGO
7,28,35,30.02086169,46.78393776,4.66910839,96.63721027,MANGO
0,36,26,34.13072188,51.25786185,5.101206389,96.38808001,MANGO
26,35,31,33.44619894,53.05980465,5.339556562,98.05089394,MANGO
27,21,30,35.3915464,52.48823147,5.061081874,91.22881052,MANGO
22,38,31,31.53356352,53.06009323,5.821106036,98.57025046,MANGO
22,18,31,30.7645515,47.93791463,5.956027059,90.38503469,MANGO
28,23,28,30.01821337,50.0983181,5.676032581,96.08745082,MANGO
7,31,27,31.32863689,47.59319575,6.524114355,94.67344737,MANGO
29,34,26,33.88004781,54.39416048,6.273953676,89.29147581,MANGO
8,37,33,28.07802689,54.9640534,6.128167757,97.45373619,MANGO
39,16,27,35.53845018,52.94641947,4.934964765,91.54560427,MANGO
40,24,25,28.70595247,50.44030129,5.445008416,95.8946444,MANGO
19,38,26,31.48451729,48.77926304,4.525722333,93.17221967,MANGO
21,21,30,27.69819273,51.41593238,5.403908328,100.7720705,MANGO
22,18,33,30.41235793,52.48100602,6.621623545,93.92375879,MANGO
31,20,30,32.17752026,54.01352682,6.207495815,91.88766069,MANGO
18,26,31,32.6112614,47.74916499,5.418475257,91.10190759,MANGO
24,130,195,29.99677232,81.54156612,6.112305667,67.12534492,GRAPES
13,144,204,30.7280404,82.42614055,6.092241627,68.38135469,GRAPES
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,GRAPES
36,125,196,37.46566825,80.65968681,6.15526103,66.83872293,GRAPES
24,131,196,22.03296178,83.74372787,5.732453638,65.34440794,GRAPES
2,123,198,39.64851881,82.21079946,6.253034534,70.39906054,GRAPES
35,140,197,16.77557314,82.75241875,6.106190557,66.76285469,GRAPES
11,122,195,12.14190714,83.56812483,5.647202395,69.63122027,GRAPES
6,123,203,12.7567962,81.62497448,6.130310493,66.77844567,GRAPES
17,134,204,39.04071989,80.18393287,6.499604931,73.88467027,GRAPES
25,130,197,39.70772192,82.68593454,5.554831977,74.91506217,GRAPES
27,145,205,9.467960445,82.29335466,5.800242694,66.02765219,GRAPES
9,122,201,29.58748357,80.91934392,5.570290539,68.06417307,GRAPES
16,139,203,17.82803682,80.96093443,6.27564088,65.84748763,GRAPES
32,141,204,8.825674745,82.89753705,5.536645599,67.235765,GRAPES
22,138,195,27.83487131,83.51444973,6.208196881,73.02882766,GRAPES
31,144,202,11.02105378,80.55557235,5.870600622,68.23963161,GRAPES
3,136,205,17.5862944,80.84806564,6.334771461,71.4065452,GRAPES
28,122,197,19.89363946,82.73366439,5.856575335,69.66256816,GRAPES
4,136,204,29.93707596,81.77713468,5.898944282,65.52279323,GRAPES
39,145,201,36.73126647,80.58931938,5.775600435,72.24230804,GRAPES
38,132,197,20.42094753,81.54185044,5.931101816,66.93065667,GRAPES
36,133,198,25.51939719,83.98351748,6.2286454,69.17281221,GRAPES
25,121,201,30.50734778,82.71775569,5.594240603,70.08200379,GRAPES
15,125,199,18.4269936,80.55625868,5.569230319,69.75734306,GRAPES
24,140,205,12.087022,83.59398734,5.93202852,68.66813363,GRAPES
13,132,203,23.60115364,82.48336987,6.423216506,73.23901752,GRAPES
5,126,197,12.80000387,81.20876367,6.417500829,67.10439401,GRAPES
30,120,200,38.06099482,82.24729637,6.234904253,65.70148216,GRAPES
23,142,197,39.06555518,82.03812973,6.000573725,69.30772897,GRAPES
26,135,203,33.78372897,81.16314317,5.685102769,74.53557341,GRAPES
7,126,203,16.76201707,82.00335557,5.662140095,73.28712806,GRAPES
32,139,198,35.89307536,82.66850729,6.358186848,66.53946559,GRAPES
9,141,202,21.01245395,81.17931863,6.119495295,66.38448261,GRAPES
20,142,196,10.89875873,80.01639435,6.207600783,68.69420397,GRAPES
32,129,201,16.36251869,83.00471609,6.48754639,71.55665483,GRAPES
3,134,199,20.28370163,81.32235739,5.81717753,71.06611222,GRAPES
38,138,204,25.11108456,83.25447587,6.325480034,73.01026829,GRAPES
14,131,198,33.4641162,83.86742974,5.562790949,67.92204319,GRAPES
20,122,204,11.7976469,80.86325389,6.487369687,65.06962486,GRAPES
40,126,201,11.36300891,80.03100049,6.116982944,71.18289431,GRAPES
36,128,204,25.23542319,80.68700527,5.695792761,67.03840888,GRAPES
11,132,197,15.99050693,81.23966573,5.734317007,74.40198861,GRAPES
0,137,195,22.4359017,80.18612085,6.329499832,65.3973168,GRAPES
19,123,200,34.76086052,81.03544763,6.167013532,65.70430027,GRAPES
31,136,197,31.11047251,83.34010951,5.653776058,71.43001582,GRAPES
